college_name,college_link,duration,fees,rank,placement,c_type
"Guntur Engineering College, Guntur",https://www.collegesearch.in/colleges/guntur-engineering-college-guntur,4 Years,"Rs 2,20,000/-",,,
"DAV Institute of Engineering & Technology, Jalandhar",https://www.collegesearch.in/colleges/dav-institute-of-engineering-technology-jalandhar,4 Years,"Rs 3,32,800/-",,,
"Deenbandhu Chhotu Ram University of Science and Technology, Sonepat",https://www.collegesearch.in/university/deenbandhu-chhotu-ram-university-of-science-and-technology-sonepat,4 Years,,,,State University
"Mahendra College of Engineering, Salem",https://www.collegesearch.in/colleges/mahendra-college-of-engineering-salem,4 Years,,,,
"PRRM Engineering College, Rangareddy",https://www.collegesearch.in/colleges/prrm-engineering-college,4 Years,"Rs 1,40,000/-",,,
"Punjab Group of Colleges, Mohali",https://www.collegesearch.in/colleges/punjab-group-of-colleges,4 Years,,,,
"Himalayan Institute of Technology & Management, Lucknow",https://www.collegesearch.in/colleges/himalayan-institute-of-technology-management-lucknow,4 Years,"Rs 2,93,000/-",,,
Adi Sankara Institute of Engineering & Technology,https://www.collegesearch.in/colleges/adi-sankara-institute-of-engineering-technology,4 Years,,,,
Islamic University of Science and Technology,https://www.collegesearch.in/university/islamic-university-of-science-and-technology,4 Years,"Rs 2,44,000/-",,,State University
"Institute of Apparel Management (IAM), Gurgaon",https://www.collegesearch.in/colleges/institute-of-apparel-management-iam-gurgaon,4 Years,"Rs 6,60,000/-",,,Autonomous
"University of Technology and Management (UTM), Shillong",https://www.collegesearch.in/university/university-of-technology-and-management-utm-shillong,4 Years,"Rs 9,00,080/-",,,State Private University
"Loyola Institute of Technology and Management (LITAM), Guntur",https://www.collegesearch.in/colleges/loyola-institute-of-technology-and-management-litam-guntur,4 Years,"Rs 1,73,200/-",,,
"Avanthi Institute of Engineering And Technology, Hyderabad",https://www.collegesearch.in/colleges/avanthi-institute-of-engineering-and-technology-hyderabad,4 Years,,,,
"Doon Valley Institute of Engineering and Technology, Karnal",https://www.collegesearch.in/colleges/doon-valley-institute-of-engineering-and-technology-karnal,4 Years,,,,
"Sat Kabir Institute of Technology & Management (SKITM), Bahadurgarh",https://www.collegesearch.in/colleges/sat-kabir-institute-of-technology-management-skitm-bahadurgarh,4 Years,"Rs 2,42,000/-",,,
Arjun College of Technology And Sciences,https://www.collegesearch.in/colleges/arjun-college-of-technology-and-sciences,4 Years,,,,
Nalla Narasimha Reddy Education Society&rsquo;s Group of Institutions,https://www.collegesearch.in/colleges/nalla-narasimha-reddy-education-societys-group-of-institutions,4 Years,"Rs 1,42,800/-",,,
"Maharishi Markandeshwar University, Solan",https://www.collegesearch.in/university/maharishi-markandeshwar-university-solan,4 Years,"Rs 2,80,000/-",,,State Private University
"Capital Engineering College, Bhubaneswar",https://www.collegesearch.in/colleges/capital-engineering-college-bhubaneswar,4 Years,,,,
"Madina Engineering College, Kadapa",https://www.collegesearch.in/colleges/madina-engineering-college-kadapa,4 Years,"Rs 1,22,800/-",,,
"SAL Institute of Technology & Engineering Research, Ahmedabad",https://www.collegesearch.in/colleges/sal-institute-of-technology-engineering-research-ahmedabad,4 Years,"Rs 1,84,000/-",,,
"Universal College of Engineering and Technology, Guntur",https://www.collegesearch.in/colleges/universal-college-of-engineering-and-technology-guntur,4 Years,"Rs 2,00,000/-",,,
"Maheshwara Institute of Technology (MIT), Hyderabad",https://www.collegesearch.in/colleges/maheshwara-institute-of-technology-mit-hyderabad,4 Years,"Rs 1,40,000/-",,,
"AWH Engineering College, Calicut",https://www.collegesearch.in/colleges/awh-engineering-college-calicut,4 Years,,,,
"Christ College of Engineering and Technology, Pondicherry",https://www.collegesearch.in/colleges/christ-college-of-engineering-and-technology,4 Years,,,,
LBS College of Engineering,https://www.collegesearch.in/colleges/lbs-college-of-engineering,4 Years,,,,
"Shantilal Shah Engineering College, Bhavnagar",https://www.collegesearch.in/colleges/shantilal-shah-engineering-college,4 Years,,,,
"Hardayal Technical Campus, Mathura",https://www.collegesearch.in/colleges/hardayal-technical-campus-mathura,4 Years,,,,
"Shri Hanuman Vyayam Prasarak Mandal&rsquo;s College of Engineering and Technology, Amravati",https://www.collegesearch.in/colleges/shri-hanuman-vyayam-prasarak-mandals-college-of-engineering-and-technology-amravati,4 Years,,,"Average -Rs.
                                2.40 L.P.A/-",
"SGT Institute of Engineering & Technology, Gurgaon",https://www.collegesearch.in/colleges/sgt-institute-of-engineering-technology-gurgaon,4 Years,"Rs 3,60,000/-",,,
TRR College of Engineering,https://www.collegesearch.in/colleges/trr-college-of-engineering,4 Years,,,,
"Stanley College of Engineering & Technology for Women, Hyderabad",https://www.collegesearch.in/colleges/stanley-college-of-engineering-technology-for-women-hyderabad,4 Years,"Rs 1,95,200/-",,,
"RC Patel Institute of Pharmaceutical Education & Research, Dhule",https://www.collegesearch.in/colleges/rc-patel-institute-of-pharmaceutical-education-research-dhule,4 Years,"Rs 30,000/-",,,
"Jeppiaar Maamallan Engineering College, Chennai",https://www.collegesearch.in/colleges/jeppiaar-maamallan-engineering-college-chennai,4 Years,"Rs 1,20,000/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                3.25 L.P.A/-",
"Jayaprakash Narayan College of Engineering, Mahabub nagar",https://www.collegesearch.in/colleges/jayaprakash-narayan-college-of-engineering,4 Years,"Rs 1,20,800/-",,"Average -Rs.
                                2.5 L.P.A/-",
"PYDAH College of Enginnering & Technology, Visakhapatnam",https://www.collegesearch.in/colleges/pydah-college-of-enginnering-technology-visakhapatnam,4 Years,,,,
"PA Aziz College of Engineering & Technology, Trivandrum",https://www.collegesearch.in/colleges/pa-aziz-college-of-engineering-technology-trivandrum,4 Years,,,,
"CK Pithawalla College of Engineering & Technology, Surat",https://www.collegesearch.in/colleges/ck-pithawalla-college-of-engineering-technology-surat,4 Years,,,"Average -Rs.
                                1.2 L.P.A/-",
"Gurukul Vidyapeeth Group of Institutes, Patiala",https://www.collegesearch.in/colleges/gurukul-vidyapeeth-group-of-institutes-patiala,4 Years,,,,
"Swami Shraddhanand College, Delhi",https://www.collegesearch.in/colleges/swami-shraddhanand-college-delhi,4 Years,,,,
Bahubali College of Engineering,https://www.collegesearch.in/colleges/bahubali-college-of-engineering,4 Years,,,"Average -Rs.
                                1.5 L.P.A/-",
Shri Ram College of Engineering & Management,https://www.collegesearch.in/colleges/shri-ram-college-of-engineering-management,4 Years,"Rs 5,45,760/-",,,
"Vaishnavi Institute of Technology & Science, Bhopal",https://www.collegesearch.in/colleges/vaishnavi-institute-of-technology-science-bhopal,4 Years,"Rs 1,80,000/-",,,
"KLE DR M S Sheshgiri College of Engineering & Technology, Belgaum",https://www.collegesearch.in/colleges/kle-dr-m-s-sheshgiri-college-of-engineering-technology-belgaum,4 Years,"Rs 3,00,000/-",,"Average -Rs.
                                2.25 L.P.A/-Highest -Rs.
                                3.30 L.P.A/-",
Sri Vasavi Institute of Engineering and Technology,https://www.collegesearch.in/colleges/sri-vasavi-institute-of-engineering-and-technology,4 Years,"Rs 1,40,000/-",,,
"Mahalakshmi Engineering College, Trichy",https://www.collegesearch.in/colleges/mahalakshmi-engineering-college-trichy,4 Years,"Rs 1,60,000/-",,,
"Caarmel Engineering College, Thiruvalla",https://www.collegesearch.in/colleges/caarmel-engineering-college-thiruvalla,4 Years,,,"Average -Rs.
                                1.25 L.P.A/-",
"Asian College of Engineering and Technology, Coimbatore",https://www.collegesearch.in/colleges/asian-college-of-engineering-and-technology-coimbatore,4 Years,"Rs 1,60,000/-",,,
"Rajendra Mane College of Engineering & Technology, Ratnagiri",https://www.collegesearch.in/colleges/rajendra-mane-college-of-engineering-technology-ratnagiri,4 Years,"Rs 2,82,760/-",,"Average -Rs.
                                3.5 L.P.A/-",
"KS Institute of Technology, Bangalore",https://www.collegesearch.in/colleges/ks-institute-of-technology-bangalore,4 Years,"Rs 1,04,000/-",,,
"Faculty of Engineering & Technology, Agra",https://www.collegesearch.in/colleges/faculty-of-engineering-technology-agra,4 Years,,,"Average -Rs.
                                2.4 L.P.A/-",
Musaliar College of Engineering & Technology,https://www.collegesearch.in/colleges/musaliar-college-of-engineering-technology,4 Years,,,"Average -Rs.
                                4.33 L.P.A/-",
"VYWS Prof Ram Meghe Institute of Technology & Research, Amravati",https://www.collegesearch.in/colleges/vyws-prof-ram-meghe-institute-of-technology-research-amravati,4 Years,,,"Average -Rs.
                                3.1 L.P.A/-",
"KCE Society&rsquo;s College of Engineering & Information Technology, Jalgaon",https://www.collegesearch.in/colleges/kce-societys-college-of-engineering-information-technology-jalgaon,4 Years,"Rs 2,00,000/-",,,
"MBS College of Engineering & Technology, Jammu",https://www.collegesearch.in/colleges/mbs-college-of-engineering-technology-jammu,4 Years,"Rs 1,80,000/-",,,
"Shobhit Institute of Engineering & Technology - Gangoh, Saharanpur",https://www.collegesearch.in/colleges/shobhit-institute-of-engineering-technology-gangoh-saharanpur,4 Years,"Rs 2,53,600/-",,"Average -Rs.
                                2.4 L.P.A/-Highest -Rs.
                                4 L.P.A/-",
"Radharaman Institute of Technology & Science, Bhopal",https://www.collegesearch.in/colleges/radharaman-institute-of-technology-science-bhopal,4 Years,,,"Average -Rs.
                                3.2 L.P.A/-Highest -Rs.
                                6.0 L.P.A/-",
MAR College of Engineering and Technology,https://www.collegesearch.in/colleges/mar-college-of-engineering-and-technology,4 Years,"Rs 1,60,000/-",,,
"Rajasthan College of Engineering for Women, Jaipur",https://www.collegesearch.in/colleges/rajasthan-college-of-engineering-for-women-jaipur,4 Years,"Rs 7,07,500/-",,,
"Lakshmi Narain College of Technology, Bhopal",https://www.collegesearch.in/colleges/lakshmi-narain-college-of-technology-bhopal,4 Years,,,,
"ILM College of Engineering and Technology, Kochi",https://www.collegesearch.in/colleges/ilm-college-of-engineering-and-technology-kochi,4 Years,"Rs 4,31,300/-",,,
"Truba Institute of Engineering & Information Technology, Bhopal",https://www.collegesearch.in/colleges/truba-institute-of-engineering-information-technology-bhopal,4 Years,"Rs 3,38,000/-",,"Average -Rs.
                                3 L.P.A/-Highest -Rs.
                                9 L.P.A/-",
"ACE College of Engineering & Management, Agra",https://www.collegesearch.in/colleges/ace-college-of-engineering-management-agra,4 Years,,,,
"Truba College of Science & Technology, Bhopal",https://www.collegesearch.in/colleges/truba-college-of-science-technology-bhopal,4 Years,"Rs 1,07,200/-",,,
"SHM Engineering College, Kollam",https://www.collegesearch.in/colleges/shm-engineering-college-kollam,4 Years,"Rs 2,13,060/-",,,
"Arignar Anna Institute of Science Technology, Chennai",https://www.collegesearch.in/colleges/arignar-anna-institute-of-science-technology-chennai,4 Years,,,,
"Arignar Anna Institute of Science Technology, Chennai",https://www.collegesearch.in/colleges/arignar-anna-institute-of-science-technology-chennai,4 Years,,,,
"Vidyalankar Group of Institutes, Wadala",https://www.collegesearch.in/colleges/vidyalankar-group-of-institutes-wadala,4 Years,,,"Average -Rs.
                                2.87 L.P.A/-",
"Nehru Institute of Engineering & Technology, Coimbatore",https://www.collegesearch.in/colleges/nehru-institute-of-engineering-technology-coimbatore,4 Years,,,,
"The ICFAI University, Raipur",https://www.collegesearch.in/university/icfai-university-raipur,4 Years,"Rs 2,47,600/-",,,State Private University
"Kamban Engineering College, Tiruvannamalai",https://www.collegesearch.in/colleges/kamban-engineering-college-tiruvannamalai,4 Years,,,,
"Mar Baselios College of Engineering & Technology, Thiruvananthapuram",https://www.collegesearch.in/colleges/mar-baselios-college-of-engineering-technology-thiruvananthapuram,4 Years,,,,
"Sri Chundi Ranganayakulu Engineering College, Guntur",https://www.collegesearch.in/colleges/sri-chundi-ranganayakulu-engineering-college-guntur,4 Years,,,,
"Christ Knowledge City, Kochi",https://www.collegesearch.in/colleges/christ-knowledge-city,4 Years,,,,
MET Engineering College,https://www.collegesearch.in/colleges/met-engineering-college,4 Years,,,,
"Vijaya Krishna Institute Of Technology & Science, Hyderabad",https://www.collegesearch.in/colleges/vijaya-krishna-institute-of-technology-science-hyderabad,4 Years,"Rs 1,24,000/-",,,
"Royal Institute of Management & Technology, Sonepat",https://www.collegesearch.in/colleges/royal-institute-of-management-technology-sonepat,4 Years,"Rs 5,96,000/-",,,
"City College, Bangalore",https://www.collegesearch.in/colleges/city-college-bangalore,4 Years,"Rs 3,60,000/-",,,
"Dhanalakshmi Srinivasan College of Engineering, Coimbatore",https://www.collegesearch.in/colleges/dhanalakshmi-srinivasan-college-of-engineering-coimbatore,4 Years,,,,
"Greater Noida College of Technology, Greater Noida",https://www.collegesearch.in/colleges/greater-noida-college-of-technology-greater-noida,4 Years,"Rs 3,66,000/-",,,
"Christ The King Engineering College, Coimbatore",https://www.collegesearch.in/colleges/christ-the-king-engineering-college-coimbatore,4 Years,,,,
"Priyadarshini Institute of Engineering & Technology, Nagpur",https://www.collegesearch.in/colleges/priyadarshini-institute-of-engineering-technology-nagpur,4 Years,,,,
"Sri Raghavendra Institute of Science and Technology, Nellore",https://www.collegesearch.in/colleges/sri-raghavendra-institute-of-science-and-technology-nellore,4 Years,"Rs 1,20,800/-",,,
"MIET Kumaon, Haldwani",https://www.collegesearch.in/colleges/miet-kumaon-haldwani,4 Years,"Rs 1,36,000/-",,,
"Al-Ameer College of Engineering & Information Technology, Visakhapatnam",https://www.collegesearch.in/colleges/al-ameer-college-of-engineering-information-technology-visakhapatnam,4 Years,"Rs 1,20,400/-",,"Average -Rs.
                                2.5 L.P.A/-",
"Sri Balaji Chockalingam Engineering College, Tiruvannamalai",https://www.collegesearch.in/colleges/sri-balaji-chockalingam-engineering-college-tiruvannamalai,4 Years,"Rs 1,80,000/-",,,
"Rungta College of Engineering and Technology, Bhilai",https://www.collegesearch.in/colleges/rungta-college-of-engineering-and-technology,4 Years,"Rs 3,00,000/-",,"Average -Rs.
                                3.4 L.P.A/-Highest -Rs.
                                7.5 L.P.A/-",
"Techno INDIA NJR Institute of Technology, Udaipur",https://www.collegesearch.in/colleges/techno-india-njr-institute-of-technology-udaipur,4 Years,,,,
"Bharathiyar College of Engineering & Technology, Karaikal",https://www.collegesearch.in/colleges/bharathiyar-college-of-engineering-technology-karaikal,4 Years,,,,
Jawaharlal Institute of Technology,https://www.collegesearch.in/colleges/jawaharlal-institute-of-technology,4 Years,"Rs 2,77,500/-",,,
"Christian College of Engineering & Technology, Dindigul",https://www.collegesearch.in/colleges/christian-college-of-engineering-technology-dindigul,4 Years,,,,
"Lord Jegannath College of Engineering & Technology, Kanyakumari",https://www.collegesearch.in/colleges/lord-jegannath-college-of-engineering-technology-kanyakumari,4 Years,"Rs 1,80,000/-",,,
Shree UV Patel College of Engineering,https://www.collegesearch.in/colleges/shree-uv-patel-college-of-engineering,4 Years,,,"Average -Rs.
                                1.55 L.P.A/-",
"JKK Munirajah College of Technology, Erode",https://www.collegesearch.in/colleges/jkk-munirajah-college-of-technology-erode,4 Years,,,,
Chendhuran College of Engineering & Technology,https://www.collegesearch.in/colleges/chendhuran-college-of-engineering-technology,4 Years,"Rs 2,80,000/-",,,
KLR College of Engineering & Technology,https://www.collegesearch.in/colleges/klr-college-of-engineering-technology,4 Years,,,,
"Chhatrapati Shahuji Maharaj Group of Institutions, Allahabad",https://www.collegesearch.in/colleges/chhatrapati-shahuji-maharaj-group-of-institutions-allahabad,4 Years,,,"Average -Rs.
                                2.5 L.P.A/-Highest -Rs.
                                3.5 L.P.A/-",
"VSB Engineering College, Karur",https://www.collegesearch.in/colleges/vsb-engineering-college,4 Years,,,,
"Bheema Institute of Technology and Science, Kurnool",https://www.collegesearch.in/colleges/bheema-institute-of-technology-and-science-kurnool,4 Years,"Rs 1,40,000/-",,,
"Advanced Institute of Technology & Management, Faridabad",https://www.collegesearch.in/colleges/advanced-institute-of-technology-management-faridabad,4 Years,"Rs 3,82,440/-",,,
"Dr KV Subba Reddy College Of Engineering For Women, Kurnool",https://www.collegesearch.in/colleges/dr-kv-subba-reddy-college-of-engineering-for-women-kurnool,4 Years,"Rs 1,80,000/-",,"Average -Rs.
                                2.4 L.P.A/-",
"Bhagwant Institute of Technology, Muzaffaranagar",https://www.collegesearch.in/colleges/bhagwant-institute-of-technology-muzaffaranagar,4 Years,,,,
RSR Rungta College of Engineering & Technology (RSR-RCET),https://www.collegesearch.in/colleges/rsr-rungta-college-of-engineering-technology-rsr-rcet,4 Years,,,,
"Rajalakshmi Institute of Technology, Chennai",https://www.collegesearch.in/colleges/rajalakshmi-institute-of-technology-chennai,4 Years,,,,
"Baselios Mathews II College of Engineering, Kollam",https://www.collegesearch.in/colleges/baselios-mathews-ii-college-of-engineering-kollam,4 Years,"Rs 2,25,000/-",,,
Anand College of Engineering & Management,https://www.collegesearch.in/colleges/anand-college-of-engineering-management,4 Years,"Rs 3,54,400/-",,,
"Gangamai College of Engineering, Dhule",https://www.collegesearch.in/colleges/gangamai-college-of-engineering-dhule,4 Years,,,,
"Sapthagiri College of Engineering, Bangalore",https://www.collegesearch.in/colleges/sapthagiri-college-of-engineering,4 Years,"Rs 1,20,000/-",,,
"Rayat Bahra Group of Institutes, Patiala",https://www.collegesearch.in/colleges/rayat-bahra-group-of-institutes-patiala,4 Years,,,,
"Radhaswami Institute of Technology, Jabalpur",https://www.collegesearch.in/colleges/radhaswami-institute-of-technology-jabalpur,4 Years,,,,
"Sarabhai Institute of Science and Technology (SIST), Trivandrum",https://www.collegesearch.in/colleges/sarabhai-institute-of-science-and-technology-sist-trivandrum,4 Years,"Rs 50,000/-",,,
"Atmiya Institute of Technology & Science for Diploma Studies, Rajkot",https://www.collegesearch.in/colleges/atmiya-institute-of-technology-science-for-diploma-studies-rajkot,4 Years,,,,
"Shri Gulabrao Deokar College of Engineering, Jalgaon",https://www.collegesearch.in/colleges/shri-gulabrao-deokar-college-of-engineering,4 Years,"Rs 1,80,000/-",,"Average -Rs.
                                2.5 L.P.A/-",
Cochin Institute of Science and Technology,https://www.collegesearch.in/colleges/cochin-institute-of-science-and-technology,4 Years,,,,
"IILM Academy of Higher Learning College of Management Studies, Greater Noida",https://www.collegesearch.in/colleges/iilm-academy-of-higher-learning-college-of-management-studies-greater-noida,4 Years,"Rs 3,13,600/-",,,
"Shree Rayeshwar Institute of Engineering & Information Technology, Ponda",https://www.collegesearch.in/colleges/shree-rayeshwar-institute-of-engineering-information-technology-ponda,4 Years,"Rs 1,78,600/-",,"Average -Rs.
                                3.5 L.P.A/-",
"CT Institute of Engineering Management and Technology (CT IEMT), Jalandhar",https://www.collegesearch.in/colleges/ct-institute-of-engineering-management-and-technology-ct-iemt-jalandhar,4 Years,"Rs 3,58,520/-",,,
"Surendra Group of Institutions, Bikaner",https://www.collegesearch.in/colleges/surendra-group-of-institutions,4 Years,"Rs 3,08,000/-",,,
Seemant Institute of Technology,https://www.collegesearch.in/colleges/seemant-institute-of-technology,4 Years,"Rs 2,00,000/-",,,
"R N Modi Engineering College, Kota",https://www.collegesearch.in/colleges/r-n-modi-engineering-college-kota,4 Years,"Rs 2,47,500/-",,,
Shekhawati Engineering College,https://www.collegesearch.in/colleges/shekhawati-engineering-college,4 Years,"Rs 2,00,000/-",,"Average -Rs.
                                2.8 L.P.A/-",
"Vivekananda College, Delhi",https://www.collegesearch.in/colleges/vivekananda-college-delhi,4 Years,,,,
Brahmaiah College of Engineering,https://www.collegesearch.in/colleges/brahmaiah-college-of-engineering,4 Years,"Rs 1,20,000/-",,,
"Jawaharlal Darda Institute of Engineering & Technology, Yavatmal",https://www.collegesearch.in/colleges/jawaharlal-darda-institute-of-engineering-technology-yavatmal,4 Years,,,"Average -Rs.
                                2.01 L.P.A/-",
"Mekapati Rajamohan Reddy Institute of Technology & Science (MeRITS), Nellore",https://www.collegesearch.in/colleges/mekapati-rajamohan-reddy-institute-of-technology-science-merits,4 Years,,,,
"College of Engineering - Rampura Phul, Bhatinda",https://www.collegesearch.in/colleges/college-of-engineering-rampura-phul,4 Years,,,,
"The Vazir Sultan College of Engineering, Khammam",https://www.collegesearch.in/colleges/the-vazir-sultan-college-of-engineering,4 Years,,,,
RVR Institute of Engineering & Technology,https://www.collegesearch.in/colleges/rvr-institute-of-engineering-technology,4 Years,"Rs 1,10,000/-",,,
"Annai Vailankanni College of Engineering, Kanyakumari",https://www.collegesearch.in/colleges/annai-vailankanni-college-of-engineering-kanyakumari,4 Years,"Rs 3,34,000/-",,,
"Vivekanandha Institute of Engineering & Technology for Women, Tiruchengode",https://www.collegesearch.in/colleges/vivekanandha-institute-of-engineering-technology-for-women-tiruchengode,4 Years,"Rs 1,80,800/-",,,
"Maa Saraswati Institute of Engineering & Technology, Rohtak",https://www.collegesearch.in/colleges/maa-saraswati-institute-of-engineering-technology-rohtak,4 Years,,,,
Mar Baselios Christian College of Engineering & Technology,https://www.collegesearch.in/colleges/mar-baselios-christian-college-of-engineering-technology,4 Years,,,,
"Sandip Institute of Engineering and Management (SIEM), Nashik",https://www.collegesearch.in/colleges/sandip-institute-of-engineering-and-management-siem-nashik,4 Years,"Rs 3,31,894/-",,,
"Tudi Narasimha Reddy Institution of Technology & Sciences, Hyderabad",https://www.collegesearch.in/colleges/tudi-narasimha-reddy-institution-of-technology-sciences-hyderabad,4 Years,,,,
"Sardar Raja College of Engineering, Tirunelveli",https://www.collegesearch.in/colleges/sardar-raja-college-of-engineering,4 Years,,,,
"DS institute of Technology & Management, Ghaziabad",https://www.collegesearch.in/colleges/ds-institute-of-technology-management-ghaziabad,4 Years,"Rs 3,17,600/-",,,
Marri Laxman Reddy Institute of Technology and Management,https://www.collegesearch.in/colleges/marri-laxman-reddy-institute-of-technology-and-management,4 Years,"Rs 1,60,000/-",,,
"Sujala Bharati Institute Of Technology, Hyderabad",https://www.collegesearch.in/colleges/sujala-bharati-institute-of-technology,4 Years,"Rs 1,80,000/-",,,
"Prathyusha institute of techonology and management, Chennai",https://www.collegesearch.in/colleges/prathyusha-institute-of-techonology-and-management,4 Years,"Rs 2,20,000/-",,,
"Applied College of Management & Engineering, Faridabad",https://www.collegesearch.in/colleges/applied-college-of-management-engineering-faridabad,4 Years,"Rs 2,08,000/-",,,
ITM Universe Technical Campus,https://www.collegesearch.in/colleges/itm-universe-technical-campus,4 Years,,,,
"Syed Hashim College of Science & Technology, Medak",https://www.collegesearch.in/colleges/syed-hashim-college-of-science-technology,4 Years,,,,
"Sri Krishnadevaraya University College of engineering, Ananthapur",https://www.collegesearch.in/colleges/sri-krishnadevaraya-university-college-of-engineering,4 Years,"Rs 1,40,000/-",,,
"Arya College of Engineering & Research Centre (ACERC), Jaipur",https://www.collegesearch.in/colleges/arya-college-of-engineering-research-centre-acerc-jaipur,4 Years,,,,
"Koustuv Institute of Self Domain, Bhubaneswar",https://www.collegesearch.in/colleges/koustuv-institute-of-self-domain-bhubaneswar,4 Years,,,,
"Vel Sri Rangarajan Sakunthala College of Multimedia, Chennai",https://www.collegesearch.in/colleges/vel-sri-rangarajan-sakunthala-college-of-multimedia-chennai,4 Years,,,,
"Panchwati Institute of Engineering & Technology, Meerut",https://www.collegesearch.in/colleges/panchwati-institute-of-engineering-technology-meerut,4 Years,"Rs 3,30,200/-",,,
MNSK College of Engineering,https://www.collegesearch.in/colleges/mnsk-college-of-engineering,4 Years,"Rs 1,60,000/-",,,
"Rayat Bahra Techhnology Centre for Excellence, Patiala",https://www.collegesearch.in/colleges/rayat-bahra-techhnology-centre-for-excellence-patiala,4 Years,,,,
"Bhopal Institute of Technology & Science, Bhopal",https://www.collegesearch.in/colleges/bhopal-institute-of-technology-science-bhopal,4 Years,"Rs 2,00,000/-",,,
"Shyam Institute of Engineering & Technology, Jaipur",https://www.collegesearch.in/colleges/shyam-institute-of-engineering-technology-jaipur,4 Years,"Rs 3,08,000/-",,,
"AVS College of Engineering and Technology, Nellore",https://www.collegesearch.in/colleges/avs-college-of-engineering-and-technology-nellore,4 Years,"Rs 2,52,000/-",,,
Sundargarh Engineering College,https://www.collegesearch.in/colleges/sundargarh-engineering-college,4 Years,"Rs 1,85,000/-",,,
Jagannath Institute for Technology and Management,https://www.collegesearch.in/colleges/jagannath-institute-for-technology-and-management,4 Years,,,,
KC College of Engineering and Information Technology,https://www.collegesearch.in/colleges/kc-college-of-engineering-and-information-technology,4 Years,,,,
"Srinivasa Institute of Engineering & Technology, Chennai",https://www.collegesearch.in/colleges/srinivasa-institute-of-engineering-technology-chennai,4 Years,"Rs 1,30,000/-",,,
ES Engineering College,https://www.collegesearch.in/colleges/es-engineering-college,4 Years,,,,
Sir CR Reddy College of Engineering,https://www.collegesearch.in/colleges/sir-cr-reddy-college-of-engineering,4 Years,,,,
"Pujya Shri Madhavanji College of Engineering and Technology, Hyderabad",https://www.collegesearch.in/colleges/pujya-shri-madhavanji-college-of-engineering-and-technology-hyderabad,4 Years,,,,
"Dr Samuel George Institute of Engineering and Technology, Prakasam",https://www.collegesearch.in/colleges/dr-samuel-george-institute-of-engineering-and-technology,4 Years,,,,
"Nagaji Educational Empire, Gwalior",https://www.collegesearch.in/colleges/nagaji-educational-empire-gwalior,4 Years,,,,
"SWVSM&rsquo;s Tatyasaheb Kore Institute of Engineering & Technology, Kolhapur",https://www.collegesearch.in/colleges/swvsms-tatyasaheb-kore-institute-of-engineering-technology-kolhapur,4 Years,,,,
"Orissa Engineering College, Bhubaneswar",https://www.collegesearch.in/colleges/orissa-engineering-college-bhubaneswar,4 Years,,,,
ShriRam College of Engineering & Management - (SRCEM),https://www.collegesearch.in/colleges/shriram-college-of-engineering-management-srcem,4 Years,,,,
"Techwords Wali Gramodyog Vikas Sansthan&rsquo;s Group of Institutions, Roorkee",https://www.collegesearch.in/colleges/techwords-wali-gramodyog-vikas-sansthans-group-of-institutions-roorkee,4 Years,"Rs 2,48,000/-",,,
Garv Institute of Management & Technology,https://www.collegesearch.in/colleges/garv-institute-of-management-technology,4 Years,"Rs 1,19,800/-",,,
"Baldev Ram Mirdha Institute of Technology, Jaipur",https://www.collegesearch.in/colleges/baldev-ram-mirdha-institute-of-technology-jaipur,4 Years,"Rs 2,20,000/-",,,
"Manav Institute of Technology & Management, Hisar",https://www.collegesearch.in/colleges/manav-institute-of-technology-management-hisar,4 Years,"Rs 2,51,200/-",,,
"Feroze Gandhi Institute of Engineering & Technology, Lucknow",https://www.collegesearch.in/colleges/feroze-gandhi-institute-of-engineering-technology-lucknow,4 Years,"Rs 4,05,800/-",,,
"Shibani Institute of Technical Education, Bhubaneswar",https://www.collegesearch.in/colleges/shibani-institute-of-technical-education-bhubaneswar,4 Years,"Rs 2,20,000/-",,,
"International Institute of Technology and Management, Sonepat",https://www.collegesearch.in/colleges/international-institute-of-technology-and-management-sonepat,4 Years,,,,
"Dalal Global Institute of Technology, Rohtak",https://www.collegesearch.in/colleges/dalal-global-institute-of-technology-rohtak,4 Years,"Rs 2,27,000/-",,,
"Disha Institute of Management & Technology, Raipur",https://www.collegesearch.in/colleges/disha-institute-of-management-technology-raipur,4 Years,,,,
"MET&rsquo;S School of Engineering, Thrissur",https://www.collegesearch.in/colleges/mets-school-of-engineering-thrissur,4 Years,,,,
"Shahjehan College of Engineering & Technology, Hyderabad",https://www.collegesearch.in/colleges/shahjehan-college-of-engineering-technology-hyderabad,4 Years,"Rs 3,80,000/-",,,
"Institute of Engineering & Technology - Ropar, Ropar",https://www.collegesearch.in/colleges/institute-of-engineering-technology-ropar,4 Years,,,,
"BV&rsquo;s Group of Institutes College of Engineering Lavale, Pune",https://www.collegesearch.in/colleges/bvs-group-of-institutes-college-of-engineering-lavale-pune,4 Years,"Rs 3,00,000/-",,,
"Mahabir Engineering College, Ambala",https://www.collegesearch.in/colleges/mahabir-engineering-college-ambala,4 Years,"Rs 3,20,000/-",,,
"Galaxy Institute of Technology & Management, Karnal",https://www.collegesearch.in/colleges/galaxy-institute-of-technology-management-karnal,4 Years,"Rs 2,48,000/-",,,
