college_name,college_link,duration,fees,rank,placement,c_type
"Dr BR Ambedkar National Institute of Technology (NIT), Jalandhar",https://www.collegesearch.in/colleges/dr-br-ambedkar-national-institute-of-technology-nit-jalandhar,4 Years,"Rs 2,62,420/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                17 L.P.A/-",Autonomous
"SV University College of Engineering (SVUCE), Tirupathi",https://www.collegesearch.in/colleges/sv-university-college-of-engineering-svuce-tirupathi,4 Years,"Rs 59,145/-",,,Autonomous
"Jorhat Engineering College, Jorhat",https://www.collegesearch.in/colleges/jorhat-engineering-college,4 Years,"Rs 44,000/-",,,
"National Institute of Technology, Shillong",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-meghalaya-shillong,4 Years,"Rs 7,64,250/-",,"Average -Rs.
                                4.9 L.P.A/-Highest -Rs.
                                11.4 L.P.A/-",Autonomous
"Indian Institute of Information Technology & Management - IIITM, Gwalior",https://www.collegesearch.in/colleges/indian-institute-of-information-technology-management-iitm-gwalior,5 Years,"Rs 2,74,200/-",,,Autonomous
"Pondicherry Engineering College, Pondicherry",https://www.collegesearch.in/colleges/pondicherry-engineering-college,4 Years,,,,
"Birsa Institute of Technology (BIT - Sindri), Ranchi",https://www.collegesearch.in/colleges/birsa-institute-of-technology-bit-sindri-ranchi,4 Years,,,,Autonomous
"Netaji Subhas University of Technology - NSUT, Delhi",https://www.collegesearch.in/colleges/netaji-subhas-institute-of-technology-nsit-delhi,4 Years,"Rs 8,44,000/-",,"Average -Rs.
                                15.5 L.P.A/-Highest -Rs.
                                27 L.P.A/-",
"Graphic Era University, Dehradun",https://www.collegesearch.in/university/graphic-era-university-dehradun,4 Years,"Rs 9,67,227/-",,"Average -Rs.
                                7 L.P.A/-Highest -Rs.
                                12 L.P.A/-",
"ICFAI Tech School (ICFAI Hyderabad), Hyderabad",https://www.collegesearch.in/colleges/icfai-tech-school-hyderabad,4 Years,"Rs 8,05,000/-",,,Deemed
"National Institute of Technology (NIT), Kurukshetra",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-kurukshetra,4 Years,"Rs 5,90,800/-",,"Average -Rs.
                                4 L.P.A/-Highest -Rs.
                                15 L.P.A/-",Autonomous
"National Institute of Technology (NIT), Hamirpur",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-hamirpur,4 Years,"Rs 3,68,550/-",,"Average -Rs.
                                5.38 L.P.A/-Highest -Rs.
                                27 L.P.A/-",Autonomous
